Module.Code,Module.Name,Year.Level,Programmes,Pre-requisite,Co-requisite
COS726,Advanced Software Engineering 726,1,BScHons Computer Science 3735,CSC312,None
COS731,Project Analysis and Design 731,1,BScHons Computer Science 3735,None,None
COS732,Project Implementation and Testing 732,1,BScHons Computer Science 3735,None,None
COS734,ICT4D,1,BScHons Computer Science 3735,None,None
COS735,An Introduction to the Internet of Things 735,1,BScHons Computer Science 3735,None,None
COS736,Big Data Engineering 736,1,"BScHons Computer Science 3735, BScHons Statistical Science 3737",None,None
COS737,Computer Science 737  Artificial Intelligence ,1,"BScHons Computer Science 3735, BScHons Statistical Science 3737",None,None
COS738,Computer Science 738  Cybersecurity ,1,BScHons Computer Science 3735,None,None
COS739,Computer Science 739  4IR Special Topics ,1,BScHons Computer Science 3735,None,None
COS740,Computer Science 740  Cloud Computing ,1,BScHons Computer Science 3735,None,None
COS741,Computer Science 741  Applied AI ,1,BScHons Computer Science 3735,"CSC311, CSC312",None
COS742,Computer Science 742  Immersive Tech ,1,BScHons Computer Science 3735,None,None
COS743,Computer Science 743  Adv Immersive Tech ,1,BScHons Computer Science 3735,None,None
EWP701,Environmental Assessment and Management 701,1,BScHons Environment and Water Science 3780,None,None
EWP702,Advanced Geographical Information Systems 702,1,BScHons Environment and Water Science 3780,None,None
EWP703,Groundwater Hydrology 703,1,BScHons Environment and Water Science 3780,None,None
EWP704,Surface Water Hydrology 704,1,BScHons Environment and Water Science 3780,None,None
EWP705,Research Project or Internship 705,1,BScHons Environment and Water Science 3780,None,None
EWP707,Anthropocene Rivers 707,1,BScHons Environment and Water Science 3780,None,None
MAM707,Ordinary Differential Equations 707,1,BScHons Mathematical Science 3736,None,None
MAM709,Number Theory 709,1,BScHons Mathematical Science 3736,None,None
MAM710,Graph Theory 710,1,"BScHons Mathematical Science 3736, BScHons Statistical Science 3737",None,None
MAM717,Partial Differential Equations 717,1,BScHons Mathematical Science 3736,None,None
MAM727,Measure and Integration 727,1,BScHons Mathematical Science 3736,None,None
MAM728,Computational Linear Algebra 728,1,"BScHons Mathematical Science 3736, BScHons Computational Finance 3739, BScHons Computer Science 3735",None,None
MAM731,Mathematical Physics 731,1,BScHons Mathematical Science 3736,None,None
MAM732,Category Theory and Order Theory 732,1,BScHons Mathematical Science 3736,None,None
MAM737,Topology 737,1,BScHons Mathematical Science 3736,None,None
MAM738,Functions of a Complex Variable 738,1,BScHons Mathematical Science 3736,None,None
MAM739,Group Theory 739,1,BScHons Mathematical Science 3736,None,None
MAM747,Coding Theory 747,1,"BScHons Mathematical Science 3736, BScHons Computer Science 3735",None,None
MAM748,Project 748,1,"BScHons Mathematical Science 3736, BScHons Computational Finance 3739",None,None
MAM757,Rings and Modules 757,1,BScHons Mathematical Science 3736,None,None
MAM767,Functional Analysis 767,1,BScHons Mathematical Science 3736,None,None
MAM777,Numerical Analysis 777,1,BScHons Mathematical Science 3736,None,None
MBS701,Specialist Module in Epidemiology 701,1,BScHons Medical Bioscience 3721,None,None
MBS702,Advanced Technique Studies 702,1,BScHons Medical Bioscience 3721,None,None
MBS704,Research Project 704,1,BScHons Medical Bioscience 3721,None,None
MBS705,Specialist Module in Anatomical Science 705,1,BScHons Medical Bioscience 3721,None,None
MBS707,Microbiology of Female Morbidity 707,1,BScHons Medical Bioscience 3721,None,None
MBS709,Microbiology of Female Morbidity 709,1,BScHons Medical Bioscience 3721,None,None
MBS712,Foetal Origins of Adult Disease 712,1,BScHons Medical Bioscience 3721,None,None
MBS713,Advanced Studies in Reproduction and Health 713,1,BScHons Medical Bioscience 3721,None,None
MBS714,Applied Immunology 714,1,BScHons Medical Bioscience 3721,None,None
MBS715,Applied Exercise Science 715,1,BScHons Medical Bioscience 3721,None,None
MBS716,Nutrition in Health and Disease 716,1,BScHons Medical Bioscience 3721,None,None
PHY709,Physics 709,1,BScHons Physical Science 3714,None,None
PHY720,Physics 720,1,"BScHons Physical Science 3714, BScHons Computer Science 3735",None,None
